run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,useFW,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A05_freqRaw__PT-prepOH__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A05_freqRaw__PT-prepOH__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A05_freqRaw__PT-prepOH__FW0_F16/A05_freqRaw__PT-prepOH__FW0_F16_final.mat,freqRaw__PT+prepOH__FW0,freqRaw,PT+prepOH,0,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.30120974779129,0.001675445,4.546054e-05,0.001052237,3.229944e-05
A34_freqRaw-phaseTrig__PT-prepOH__FW1_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A34_freqRaw-phaseTrig__PT-prepOH__FW1_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A34_freqRaw-phaseTrig__PT-prepOH__FW1_F21/A34_freqRaw-phaseTrig__PT-prepOH__FW1_F21_final.mat,freqRaw+phaseTrig__PT+prepOH__FW1,freqRaw+phaseTrig,PT+prepOH,1,21,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22],0.300631552934647,0.001684529,4.575241e-05,0.00108254,3.247723e-05
A42_freqRaw-phaseTrig__PT-prepOH-t_acq__FW1_F22,MIMOSA_featAbl_loss1_tau0p01_v1/A42_freqRaw-phaseTrig__PT-prepOH-t_acq__FW1_F22,MIMOSA_featAbl_loss1_tau0p01_v1/A42_freqRaw-phaseTrig__PT-prepOH-t_acq__FW1_F22/A42_freqRaw-phaseTrig__PT-prepOH-t_acq__FW1_F22_final.mat,freqRaw+phaseTrig__PT+prepOH+t_acq__FW1,freqRaw+phaseTrig,PT+prepOH+t_acq,1,22,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22],0.300787568092346,0.001745004,4.795456e-05,0.001318403,3.06976e-05
A39_freqRaw-phaseTrig__prepOH-t_acq__FW0_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A39_freqRaw-phaseTrig__prepOH-t_acq__FW0_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A39_freqRaw-phaseTrig__prepOH-t_acq__FW0_F20/A39_freqRaw-phaseTrig__prepOH-t_acq__FW0_F20_final.mat,freqRaw+phaseTrig__prepOH+t_acq__FW0,freqRaw+phaseTrig,prepOH+t_acq,0,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21],0.300800740718842,0.001832129,4.948671e-05,0.001171668,3.517889e-05
A09_freqRaw__PT-t_acq__FW0_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A09_freqRaw__PT-t_acq__FW0_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A09_freqRaw__PT-t_acq__FW0_F13/A09_freqRaw__PT-t_acq__FW0_F13_final.mat,freqRaw__PT+t_acq__FW0,freqRaw,PT+t_acq,0,13,[1 2 3 4 5 6 7 8 9 10 11 16 21],0.301202774047852,0.002003824,5.420614e-05,0.001308639,3.859474e-05
A27_phaseTrig__PT-prepOH-t_acq__FW0_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A27_phaseTrig__PT-prepOH-t_acq__FW0_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A27_phaseTrig__PT-prepOH-t_acq__FW0_F19/A27_phaseTrig__PT-prepOH-t_acq__FW0_F19_final.mat,phaseTrig__PT+prepOH+t_acq__FW0,phaseTrig,PT+prepOH+t_acq,0,19,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20 21],0.30080908536911,0.002119101,5.754444e-05,0.001366292,4.081182e-05
A31_freqRaw-phaseTrig__prepOH__FW0_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A31_freqRaw-phaseTrig__prepOH__FW0_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A31_freqRaw-phaseTrig__prepOH__FW0_F19/A31_freqRaw-phaseTrig__prepOH__FW0_F19_final.mat,freqRaw+phaseTrig__prepOH__FW0,freqRaw+phaseTrig,prepOH,0,19,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20],0.300808757543564,0.00213486,5.72262e-05,0.001222773,4.261844e-05
A20_phaseTrig__PT-prepOH__FW1_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A20_phaseTrig__PT-prepOH__FW1_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A20_phaseTrig__PT-prepOH__FW1_F19/A20_phaseTrig__PT-prepOH__FW1_F19_final.mat,phaseTrig__PT+prepOH__FW1,phaseTrig,PT+prepOH,1,19,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20 22],0.300807118415833,0.0022246,6.167132e-05,0.001384065,4.603223e-05
A40_freqRaw-phaseTrig__prepOH-t_acq__FW1_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A40_freqRaw-phaseTrig__prepOH-t_acq__FW1_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A40_freqRaw-phaseTrig__prepOH-t_acq__FW1_F21/A40_freqRaw-phaseTrig__prepOH-t_acq__FW1_F21_final.mat,freqRaw+phaseTrig__prepOH+t_acq__FW1,freqRaw+phaseTrig,prepOH+t_acq,1,21,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22],0.30063334107399,0.002253646,6.181055e-05,0.001603539,4.20583e-05
A24_phaseTrig__PT-t_acq__FW1_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A24_phaseTrig__PT-t_acq__FW1_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A24_phaseTrig__PT-t_acq__FW1_F16/A24_phaseTrig__PT-t_acq__FW1_F16_final.mat,phaseTrig__PT+t_acq__FW1,phaseTrig,PT+t_acq,1,16,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 21 22],0.301211953163147,0.002304991,6.348298e-05,0.001414221,4.822828e-05
A33_freqRaw-phaseTrig__PT-prepOH__FW0_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A33_freqRaw-phaseTrig__PT-prepOH__FW0_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A33_freqRaw-phaseTrig__PT-prepOH__FW0_F20/A33_freqRaw-phaseTrig__PT-prepOH__FW0_F20_final.mat,freqRaw+phaseTrig__PT+prepOH__FW0,freqRaw+phaseTrig,PT+prepOH,0,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20],0.300800919532776,0.002314294,6.393567e-05,0.001173926,5.197652e-05
A06_freqRaw__PT-prepOH__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A06_freqRaw__PT-prepOH__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A06_freqRaw__PT-prepOH__FW1_F17/A06_freqRaw__PT-prepOH__FW1_F17_final.mat,freqRaw__PT+prepOH__FW1,freqRaw,PT+prepOH,1,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 22],0.301022708415985,0.002385463,6.496012e-05,0.001394567,4.784869e-05
A16_phaseTrig__PT__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A16_phaseTrig__PT__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A16_phaseTrig__PT__FW1_F15/A16_phaseTrig__PT__FW1_F15_final.mat,phaseTrig__PT__FW1,phaseTrig,PT,1,15,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 22],0.30130061507225,0.002450031,6.716295e-05,0.001721321,4.600509e-05
A28_phaseTrig__PT-prepOH-t_acq__FW1_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A28_phaseTrig__PT-prepOH-t_acq__FW1_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A28_phaseTrig__PT-prepOH-t_acq__FW1_F20/A28_phaseTrig__PT-prepOH-t_acq__FW1_F20_final.mat,phaseTrig__PT+prepOH+t_acq__FW1,phaseTrig,PT+prepOH+t_acq,1,20,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20 21 22],0.300800204277039,0.002483586,7.012582e-05,0.001184497,6.031743e-05
A01_freqRaw__PT__FW0_F12,MIMOSA_featAbl_loss1_tau0p01_v1/A01_freqRaw__PT__FW0_F12,MIMOSA_featAbl_loss1_tau0p01_v1/A01_freqRaw__PT__FW0_F12/A01_freqRaw__PT__FW0_F12_final.mat,freqRaw__PT__FW0,freqRaw,PT,0,12,[1 2 3 4 5 6 7 8 9 10 11 16],0.301294684410095,0.002563705,7.167688e-05,0.00140262,5.790977e-05
A36_freqRaw-phaseTrig__t_acq__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A36_freqRaw-phaseTrig__t_acq__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A36_freqRaw-phaseTrig__t_acq__FW1_F17/A36_freqRaw-phaseTrig__t_acq__FW1_F17_final.mat,freqRaw+phaseTrig__t_acq__FW1,freqRaw+phaseTrig,t_acq,1,17,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 21 22],0.301032841205597,0.002589092,7.027068e-05,0.001681985,5.049844e-05
A14_freqRaw__PT-prepOH-t_acq__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A14_freqRaw__PT-prepOH-t_acq__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A14_freqRaw__PT-prepOH-t_acq__FW1_F18/A14_freqRaw__PT-prepOH-t_acq__FW1_F18_final.mat,freqRaw__PT+prepOH+t_acq__FW1,freqRaw,PT+prepOH+t_acq,1,18,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21 22],0.300819426774979,0.002812371,7.654417e-05,0.001994401,5.09869e-05
A29_freqRaw-phaseTrig__PT__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A29_freqRaw-phaseTrig__PT__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A29_freqRaw-phaseTrig__PT__FW0_F16/A29_freqRaw-phaseTrig__PT__FW0_F16_final.mat,freqRaw+phaseTrig__PT__FW0,freqRaw+phaseTrig,PT,0,16,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16],0.30121648311615,0.002990058,8.261605e-05,0.001860666,6.217663e-05
A23_phaseTrig__PT-t_acq__FW0_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A23_phaseTrig__PT-t_acq__FW0_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A23_phaseTrig__PT-t_acq__FW0_F15/A23_phaseTrig__PT-t_acq__FW0_F15_final.mat,phaseTrig__PT+t_acq__FW0,phaseTrig,PT+t_acq,0,15,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 21],0.301290780305862,0.003129283,9.078719e-05,0.003085141,3.788024e-05
A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17_final.mat,freqRaw+phaseTrig__PT+t_acq__FW0,freqRaw+phaseTrig,PT+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 21],0.301042824983597,0.003170416,8.659295e-05,0.002188084,6.033643e-05
A15_phaseTrig__PT__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A15_phaseTrig__PT__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A15_phaseTrig__PT__FW0_F14/A15_phaseTrig__PT__FW0_F14_final.mat,phaseTrig__PT__FW0,phaseTrig,PT,0,14,[1 2 3 4 5 6 7 8 9 12 13 14 15 16],0.301388293504715,0.003297356,9.344256e-05,0.00170752,7.819512e-05
A22_phaseTrig__t_acq__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A22_phaseTrig__t_acq__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A22_phaseTrig__t_acq__FW1_F15/A22_phaseTrig__t_acq__FW1_F15_final.mat,phaseTrig__t_acq__FW1,phaseTrig,t_acq,1,15,[1 2 3 4 5 6 7 8 9 12 13 14 15 21 22],0.301299750804901,0.003385458,9.19693e-05,0.001732289,7.565568e-05
