id,name,freq_mode,time_mode,useFW,nfeatures,feature_idx
1,freqRaw__PT__FW0,freqRaw,PT,0,12,"[1 2 3 4 5 6 7 8 9 10 11 16]"
2,freqRaw__PT__FW1,freqRaw,PT,1,13,"[1 2 3 4 5 6 7 8 9 10 11 16 22]"
3,freqRaw__prepOH__FW0,freqRaw,prepOH,0,15,"[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20]"
4,freqRaw__prepOH__FW1,freqRaw,prepOH,1,16,"[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 22]"
5,freqRaw__PT+prepOH__FW0,freqRaw,PT+prepOH,0,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
6,freqRaw__PT+prepOH__FW1,freqRaw,PT+prepOH,1,17,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 22]"
7,freqRaw__t_acq__FW0,freqRaw,t_acq,0,12,"[1 2 3 4 5 6 7 8 9 10 11 21]"
8,freqRaw__t_acq__FW1,freqRaw,t_acq,1,13,"[1 2 3 4 5 6 7 8 9 10 11 21 22]"
9,freqRaw__PT+t_acq__FW0,freqRaw,PT+t_acq,0,13,"[1 2 3 4 5 6 7 8 9 10 11 16 21]"
10,freqRaw__PT+t_acq__FW1,freqRaw,PT+t_acq,1,14,"[1 2 3 4 5 6 7 8 9 10 11 16 21 22]"
11,freqRaw__prepOH+t_acq__FW0,freqRaw,prepOH+t_acq,0,16,"[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21]"
12,freqRaw__prepOH+t_acq__FW1,freqRaw,prepOH+t_acq,1,17,"[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21 22]"
13,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21]"
14,freqRaw__PT+prepOH+t_acq__FW1,freqRaw,PT+prepOH+t_acq,1,18,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21 22]"
15,phaseTrig__PT__FW0,phaseTrig,PT,0,14,"[1 2 3 4 5 6 7 8 9 12 13 14 15 16]"
16,phaseTrig__PT__FW1,phaseTrig,PT,1,15,"[1 2 3 4 5 6 7 8 9 12 13 14 15 16 22]"
17,phaseTrig__prepOH__FW0,phaseTrig,prepOH,0,17,"[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20]"
18,phaseTrig__prepOH__FW1,phaseTrig,prepOH,1,18,"[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20 22]"
19,phaseTrig__PT+prepOH__FW0,phaseTrig,PT+prepOH,0,18,"[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20]"
20,phaseTrig__PT+prepOH__FW1,phaseTrig,PT+prepOH,1,19,"[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20 22]"
21,phaseTrig__t_acq__FW0,phaseTrig,t_acq,0,14,"[1 2 3 4 5 6 7 8 9 12 13 14 15 21]"
