run_dir,final_file,run_name,cfg_name,loss_name,loss_mode,use_weight,use_norm,tau,epsA,neuron_div,numNeurons,cfg_feature_idx,feature_idx,nfeatures,seed,final_train_loss,mean_abs_gt,mean_abs_pred,mean_abs_err,mean_dphi,std_dphi,mean_abs_dphi,complex_nrse,complex_mae,nrse_re,nrse_im,mag_nrse,mag_mae
MIMOSA_tauEpsAbl_fullLoss_v1/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0_final.mat,TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0,TAUEPS11__tau_1em02__eps_1em04,relCplx_full,1,1,1,0.01,0.0001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.30120974779129,0.03003563,0.03002642,4.546054e-05,9.734477e-06,0.003443734,0.001052237,0.001675445,4.546054e-05,0.001357181,0.00446424,0.001303408,3.229944e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0_final.mat,TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0,TAUEPS03__tau_1em03__eps_1em04,relCplx_full,1,1,1,0.001,0.0001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.35337507724762,0.03003563,0.03003848,4.720455e-05,0.0002041741,0.003429384,0.001113784,0.001763094,4.720455e-05,0.001380641,0.004943474,0.001326971,3.25365e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0_final.mat,TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0,TAUEPS05__tau_3em03__eps_1em06,relCplx_full,1,1,1,0.003,1e-06,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0392461977899075,0.03003563,0.03005269,5.004528e-05,0.0003334297,0.005250547,0.001145483,0.001879568,5.004528e-05,0.001448429,0.005383932,0.001445365,3.522731e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0_final.mat,TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0,TAUEPS18__tau_1em01__eps_1em05,relCplx_full,1,1,1,0.1,1e-05,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.00847661308944225,0.03003563,0.03002873,5.127323e-05,-0.0004616463,0.005424437,0.00139816,0.001881699,5.127323e-05,0.001425107,0.005506888,0.001367602,3.383469e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0_final.mat,TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0,TAUEPS10__tau_1em02__eps_1em05,relCplx_full,1,1,1,0.01,1e-05,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0993899255990982,0.03003563,0.03005689,5.209608e-05,-0.0002583962,0.004227442,0.001212156,0.001918963,5.209608e-05,0.001574717,0.005001814,0.001474526,3.679534e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0_final.mat,TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0,TAUEPS04__tau_1em03__eps_1em03,relCplx_full,1,1,1,0.001,0.001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.715969681739807,0.03003563,0.03003077,5.43775e-05,0.0001230574,0.004797047,0.001328202,0.002013268,5.43775e-05,0.001594321,0.005555661,0.00153904,3.792021e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0_final.mat,TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0,TAUEPS02__tau_1em03__eps_1em05,relCplx_full,1,1,1,0.001,1e-05,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.128008008003235,0.03003563,0.03002837,5.749168e-05,0.00118255,0.004470791,0.00162953,0.002113606,5.749168e-05,0.00131226,0.00729172,0.001340576,3.255132e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0_final.mat,TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0,TAUEPS06__tau_3em03__eps_1em05,relCplx_full,1,1,1,0.003,1e-05,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.122732065618038,0.03003563,0.03002232,5.893529e-05,-0.001045563,0.004980437,0.001561524,0.002197955,5.893529e-05,0.001747553,0.006029618,0.001470878,3.681734e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0_final.mat,TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0,TAUEPS09__tau_1em02__eps_1em06,relCplx_full,1,1,1,0.01,1e-06,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0315351411700249,0.03003563,0.03007885,6.28303e-05,9.565717e-05,0.005577744,0.001157521,0.002264149,6.28303e-05,0.002043529,0.004688907,0.001957707,5.148472e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0_final.mat,TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0,TAUEPS17__tau_1em01__eps_1em06,relCplx_full,1,1,1,0.1,1e-06,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.00267185689881444,0.03003563,0.03008285,6.691478e-05,-0.0002275184,0.01272952,0.001557385,0.002415247,6.691478e-05,0.00218151,0.004989381,0.002045058,5.371647e-05
