run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,useFW,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0/TE11_TAUEPS11__tau_1em02__eps_1em04_F16_seed0_final.mat,TAUEPS11__tau_1em02__eps_1em04,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.30120974779129,0.001675445,4.546054e-05,0.001052237,3.229944e-05
TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0/TE03_TAUEPS03__tau_1em03__eps_1em04_F16_seed0_final.mat,TAUEPS03__tau_1em03__eps_1em04,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.35337507724762,0.001763094,4.720455e-05,0.001113784,3.25365e-05
TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0/TE05_TAUEPS05__tau_3em03__eps_1em06_F16_seed0_final.mat,TAUEPS05__tau_3em03__eps_1em06,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.0392461977899075,0.001879568,5.004528e-05,0.001145483,3.522731e-05
TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0/TE18_TAUEPS18__tau_1em01__eps_1em05_F16_seed0_final.mat,TAUEPS18__tau_1em01__eps_1em05,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.00847661308944225,0.001881699,5.127323e-05,0.00139816,3.383469e-05
TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0/TE10_TAUEPS10__tau_1em02__eps_1em05_F16_seed0_final.mat,TAUEPS10__tau_1em02__eps_1em05,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.0993899255990982,0.001918963,5.209608e-05,0.001212156,3.679534e-05
TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0/TE04_TAUEPS04__tau_1em03__eps_1em03_F16_seed0_final.mat,TAUEPS04__tau_1em03__eps_1em03,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.715969681739807,0.002013268,5.43775e-05,0.001328202,3.792021e-05
TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0/TE02_TAUEPS02__tau_1em03__eps_1em05_F16_seed0_final.mat,TAUEPS02__tau_1em03__eps_1em05,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.128008008003235,0.002113606,5.749168e-05,0.00162953,3.255132e-05
TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0/TE06_TAUEPS06__tau_3em03__eps_1em05_F16_seed0_final.mat,TAUEPS06__tau_3em03__eps_1em05,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.122732065618038,0.002197955,5.893529e-05,0.001561524,3.681734e-05
TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0/TE09_TAUEPS09__tau_1em02__eps_1em06_F16_seed0_final.mat,TAUEPS09__tau_1em02__eps_1em06,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.0315351411700249,0.002264149,6.28303e-05,0.001157521,5.148472e-05
TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0/TE17_TAUEPS17__tau_1em01__eps_1em06_F16_seed0_final.mat,TAUEPS17__tau_1em01__eps_1em06,,,NaN,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.00267185689881444,0.002415247,6.691478e-05,0.001557385,5.371647e-05
