id,name,loss_name,loss_mode,use_weight,use_norm,epsA,tau,nfeatures,feature_idx
1,TAUEPS01__tau_1em03__eps_1em06,relCplx_full,1,1,1,1e-06,0.001,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
2,TAUEPS02__tau_1em03__eps_1em05,relCplx_full,1,1,1,1e-05,0.001,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
3,TAUEPS03__tau_1em03__eps_1em04,relCplx_full,1,1,1,0.0001,0.001,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
4,TAUEPS04__tau_1em03__eps_1em03,relCplx_full,1,1,1,0.001,0.001,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
5,TAUEPS05__tau_3em03__eps_1em06,relCplx_full,1,1,1,1e-06,0.003,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
6,TAUEPS06__tau_3em03__eps_1em05,relCplx_full,1,1,1,1e-05,0.003,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
7,TAUEPS07__tau_3em03__eps_1em04,relCplx_full,1,1,1,0.0001,0.003,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
8,TAUEPS08__tau_3em03__eps_1em03,relCplx_full,1,1,1,0.001,0.003,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
9,TAUEPS09__tau_1em02__eps_1em06,relCplx_full,1,1,1,1e-06,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
10,TAUEPS10__tau_1em02__eps_1em05,relCplx_full,1,1,1,1e-05,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
11,TAUEPS11__tau_1em02__eps_1em04,relCplx_full,1,1,1,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
12,TAUEPS12__tau_1em02__eps_1em03,relCplx_full,1,1,1,0.001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
13,TAUEPS13__tau_3em02__eps_1em06,relCplx_full,1,1,1,1e-06,0.03,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
14,TAUEPS14__tau_3em02__eps_1em05,relCplx_full,1,1,1,1e-05,0.03,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
15,TAUEPS15__tau_3em02__eps_1em04,relCplx_full,1,1,1,0.0001,0.03,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
16,TAUEPS16__tau_3em02__eps_1em03,relCplx_full,1,1,1,0.001,0.03,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
17,TAUEPS17__tau_1em01__eps_1em06,relCplx_full,1,1,1,1e-06,0.1,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
18,TAUEPS18__tau_1em01__eps_1em05,relCplx_full,1,1,1,1e-05,0.1,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
19,TAUEPS19__tau_1em01__eps_1em04,relCplx_full,1,1,1,0.0001,0.1,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
20,TAUEPS20__tau_1em01__eps_1em03,relCplx_full,1,1,1,0.001,0.1,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
