run_dir,final_file,run_name,cfg_name,loss_abbr,residual_name,residual_mode,use_weight,use_norm,tau,epsA,neuron_div,numNeurons,cfg_feature_idx,feature_idx,nfeatures,seed,final_train_loss,mean_abs_gt,mean_abs_pred,mean_abs_err,mean_dphi,std_dphi,mean_abs_dphi,complex_nrse,complex_mae,nrse_re,nrse_im,mag_nrse,mag_mae,loss_rank
MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed0/L01_LOSS01__WRCL_F16_seed0_final.mat,L01_LOSS01__WRCL_F16_seed0,LOSS01__WRCL,WRCL,Charb,1,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.30120974779129,0.03003563,0.03002642,4.546054e-05,9.734477e-06,0.003443734,0.001052237,0.001675445,4.546054e-05,0.001357181,0.00446424,0.001303408,3.229944e-05,1
MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed1/L01_LOSS01__WRCL_F16_seed1_final.mat,L01_LOSS01__WRCL_F16_seed1,LOSS01__WRCL,WRCL,Charb,1,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,0.301020711660385,0.03004601,0.0300194,6.330727e-05,-0.0009425613,0.007953559,0.0016603,0.002346422,6.330727e-05,0.001926144,0.006136275,0.001678396,4.184033e-05,1
MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed2/L01_LOSS01__WRCL_F16_seed2_final.mat,L01_LOSS01__WRCL_F16_seed2,LOSS01__WRCL,WRCL,Charb,1,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,0.300821036100388,0.03004679,0.03005453,4.693045e-05,-0.0002001841,0.004267295,0.001109723,0.001734519,4.693045e-05,0.001335776,0.004994133,0.001327099,3.285688e-05,1
MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed3/L01_LOSS01__WRCL_F16_seed3_final.mat,L01_LOSS01__WRCL_F16_seed3,LOSS01__WRCL,WRCL,Charb,1,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,0.301341593265533,0.03008805,0.03010933,5.238934e-05,-6.290392e-05,0.007586652,0.001293615,0.001914535,5.238934e-05,0.001558204,0.005086481,0.001504276,3.756205e-05,1
MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L01_LOSS01__WRCL_F16_seed4/L01_LOSS01__WRCL_F16_seed4_final.mat,L01_LOSS01__WRCL_F16_seed4,LOSS01__WRCL,WRCL,Charb,1,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,0.301628470420837,0.030074,0.02995525,0.0001585779,-0.002235828,0.01273597,0.003174433,0.005293437,0.0001585779,0.004908855,0.009859383,0.004355724,0.0001285531,1
MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed0/L02_LOSS02__WCL_F16_seed0_final.mat,L02_LOSS02__WCL_F16_seed0,LOSS02__WCL,WCL,Charb,1,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.00882027950137854,0.03003563,0.03002037,5.841195e-05,-0.000685973,0.00642447,0.001590138,0.002136864,5.841195e-05,0.001666876,0.006023319,0.00152365,3.798915e-05,2
MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed1/L02_LOSS02__WCL_F16_seed1_final.mat,L02_LOSS02__WCL_F16_seed1,LOSS02__WCL,WCL,Charb,1,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,0.00882242247462273,0.03004601,0.03002944,5.994885e-05,-0.0003538408,0.004854177,0.00148793,0.002216532,5.994885e-05,0.001795056,0.00593157,0.001668022,4.144164e-05,2
MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed2/L02_LOSS02__WCL_F16_seed2_final.mat,L02_LOSS02__WCL_F16_seed2,LOSS02__WCL,WCL,Charb,1,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,0.00882464647293091,0.03004679,0.03005302,6.101633e-05,-0.00111207,0.006361744,0.001798909,0.002204181,6.101633e-05,0.001490946,0.007216209,0.00146013,3.617729e-05,2
MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed3/L02_LOSS02__WCL_F16_seed3_final.mat,L02_LOSS02__WCL_F16_seed3,LOSS02__WCL,WCL,Charb,1,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,0.00881915166974068,0.03008805,0.03006612,5.604205e-05,8.129605e-05,0.006378767,0.001327442,0.002041063,5.604205e-05,0.001650928,0.005478551,0.001595312,4.030127e-05,2
MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L02_LOSS02__WCL_F16_seed4/L02_LOSS02__WCL_F16_seed4_final.mat,L02_LOSS02__WCL_F16_seed4,LOSS02__WCL,WCL,Charb,1,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,0.00881739426404238,0.030074,0.03007859,7.314382e-05,-0.001430501,0.007896481,0.002221426,0.002641614,7.314382e-05,0.00169677,0.008902762,0.001673494,4.134335e-05,2
