run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,neuron_div,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
A01_NDIV1__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A01_NDIV1__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A01_NDIV1__freqRaw__PT-prepOH_F16_seed0/A01_NDIV1__freqRaw__PT-prepOH_F16_seed0_final.mat,NDIV1__freqRaw__PT+prepOH,freqRaw,PT+prepOH,1,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.301292359828949,0.02083876,0.0005746144,0.0128318,0.0004290254
A03_NDIV1__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A03_NDIV1__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A03_NDIV1__freqRaw-phaseTrig__PT-prepOH_F20_seed0/A03_NDIV1__freqRaw-phaseTrig__PT-prepOH_F20_seed0_final.mat,NDIV1__freqRaw+phaseTrig__PT+prepOH,freqRaw+phaseTrig,PT+prepOH,1,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20],0.301729768514633,0.02079887,0.0005682866,0.01478466,0.0004016098
A02_NDIV1__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A02_NDIV1__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A02_NDIV1__phaseTrig__PT-prepOH_F18_seed0/A02_NDIV1__phaseTrig__PT-prepOH_F18_seed0_final.mat,NDIV1__phaseTrig__PT+prepOH,phaseTrig,PT+prepOH,1,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20],0.300926923751831,0.01793566,0.0005375561,0.01926314,0.0001890003
A04_NDIV2__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A04_NDIV2__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A04_NDIV2__freqRaw__PT-prepOH_F16_seed0/A04_NDIV2__freqRaw__PT-prepOH_F16_seed0_final.mat,NDIV2__freqRaw__PT+prepOH,freqRaw,PT+prepOH,2,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.30120974779129,0.001675445,4.546054e-05,0.001052237,3.229944e-05
A06_NDIV2__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A06_NDIV2__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A06_NDIV2__freqRaw-phaseTrig__PT-prepOH_F20_seed0/A06_NDIV2__freqRaw-phaseTrig__PT-prepOH_F20_seed0_final.mat,NDIV2__freqRaw+phaseTrig__PT+prepOH,freqRaw+phaseTrig,PT+prepOH,2,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20],0.300800919532776,0.002314294,6.393567e-05,0.001173926,5.197652e-05
A05_NDIV2__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A05_NDIV2__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A05_NDIV2__phaseTrig__PT-prepOH_F18_seed0/A05_NDIV2__phaseTrig__PT-prepOH_F18_seed0_final.mat,NDIV2__phaseTrig__PT+prepOH,phaseTrig,PT+prepOH,2,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20],0.300804674625397,0.003483211,0.0001004494,0.001822889,8.52985e-05
A07_NDIV4__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A07_NDIV4__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A07_NDIV4__freqRaw__PT-prepOH_F16_seed0/A07_NDIV4__freqRaw__PT-prepOH_F16_seed0_final.mat,NDIV4__freqRaw__PT+prepOH,freqRaw,PT+prepOH,4,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.30075079202652,0.003875434,0.0001094078,0.002791604,7.48079e-05
A09_NDIV4__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A09_NDIV4__freqRaw-phaseTrig__PT-prepOH_F20_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A09_NDIV4__freqRaw-phaseTrig__PT-prepOH_F20_seed0/A09_NDIV4__freqRaw-phaseTrig__PT-prepOH_F20_seed0_final.mat,NDIV4__freqRaw+phaseTrig__PT+prepOH,freqRaw+phaseTrig,PT+prepOH,4,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20],0.300673753023148,0.002491664,6.790145e-05,0.001648186,4.824196e-05
A08_NDIV4__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A08_NDIV4__phaseTrig__PT-prepOH_F18_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A08_NDIV4__phaseTrig__PT-prepOH_F18_seed0/A08_NDIV4__phaseTrig__PT-prepOH_F18_seed0_final.mat,NDIV4__phaseTrig__PT+prepOH,phaseTrig,PT+prepOH,4,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20],0.300808668136597,0.003042221,8.41439e-05,0.001950213,6.073437e-05
A10_NDIV8__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A10_NDIV8__freqRaw__PT-prepOH_F16_seed0,MIMOSA_featAbl_ARCHxFEAT_loss1_tau0p01_v1/A10_NDIV8__freqRaw__PT-prepOH_F16_seed0/A10_NDIV8__freqRaw__PT-prepOH_F16_seed0_final.mat,NDIV8__freqRaw__PT+prepOH,freqRaw,PT+prepOH,8,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],0.301195383071899,0.005154061,0.0001403787,0.003439418,9.802198e-05
